date,spx_close,spx_ret,spx_tr_close,spx_tr_ret,rf
2013-01-02,1498.11,0.050428064,2634.16,0.05179601,0.0
2013-02-01,1514.68,0.011060603,2669.92,0.013575485,0.0
2013-03-01,1569.19,0.035987799,2770.05,0.037502996,0.0
2013-04-01,1597.57,0.018085764,2823.42,0.0192668,0.0
2013-05-01,1630.74,0.020762783,2889.46,0.023390073,0.0
2013-06-03,1606.28,-0.014999325,2850.66,-0.013428115,0.0
2013-07-01,1685.73,0.049462111,2995.72,0.050886461,0.0
2013-08-01,1632.97,-0.031298013,2908.96,-0.028961318,0.0
2013-09-03,1681.55,0.029749475,3000.18,0.031358286,0.0
2013-10-01,1756.54,0.04459576,3138.09,0.045967242,0.0
2013-11-01,1805.81,0.028049461,3233.72,0.030473951,0.0
2013-12-02,1848.36,0.023562833,3315.59,0.025317591,0.0
2014-01-02,1782.59,-0.035582895,3200.95,-0.034576048,0.0
2014-02-03,1859.45,0.043117038,3347.38,0.045745794,0.0
2014-03-03,1872.34,0.006932157,3375.51,0.008403587,0.0
2014-04-01,1883.95,0.006200797,3400.46,0.007391476,0.0
2014-05-01,1923.57,0.021030282,3480.29,0.023476236,0.0
2014-06-02,1960.23,0.019058313,3552.18,0.020656325,0.0
2014-07-01,1930.67,-0.015079863,3503.19,-0.013791531,0.0
2014-08-01,2003.37,0.037655322,3643.33,0.04000354,0.0
2014-09-02,1972.29,-0.015513859,3592.25,-0.014020141,0.0
2014-10-01,2018.05,0.023201456,3679.99,0.024424803,0.0
2014-11-03,2067.56,0.024533584,3778.96,0.026894095,0.0
2014-12-01,2058.9,-0.004188512,3769.44,-0.002519212,0.0
2015-01-02,1994.99,-0.031040847,3656.28,-0.030020374,0.0
2015-02-02,2104.5,0.054892506,3866.42,0.057473716,0.0
2015-03-02,2067.89,-0.017396056,3805.27,-0.015815664,0.0
2015-04-01,2085.51,0.008520763,3841.78,0.009594589,0.0
2015-05-01,2107.39,0.010491439,3891.18,0.012858623,0.0
2015-06-01,2063.11,-0.021011773,3815.85,-0.019359166,0.0
2015-07-01,2103.84,0.01974204,3895.8,0.020952081,0.0
2015-08-03,1972.18,-0.062580805,3660.75,-0.060334206,0.0
2015-09-01,1920.03,-0.02644282,3570.17,-0.024743563,0.0
2015-10-01,2079.36,0.082983078,3871.33,0.084354527,0.0
2015-11-02,2080.41,0.000504963,3882.84,0.002973138,0.0
2015-12-01,2043.94,-0.017530198,3821.6,-0.015771961,0.0001
2016-01-04,1940.24,-0.050735344,3631.96,-0.049623194,0.0001
2016-02-01,1932.23,-0.004128355,3627.06,-0.001349134,0.0002
2016-03-01,2059.74,0.065991109,3873.11,0.067837312,0.0002
2016-04-01,2065.3,0.00269937,3888.13,0.003878021,0.0001
2016-05-02,2096.96,0.015329492,3957.95,0.017957219,0.0001
2016-06-01,2098.86,0.000906074,3968.21,0.002592251,0.0002
2016-07-01,2173.6,0.035609807,4114.51,0.036868008,0.0002
2016-08-01,2170.95,-0.001219176,4120.29,0.001404785,0.0002
2016-09-01,2168.27,-0.001234483,4121.06,0.00018688,0.0002
2016-10-03,2126.15,-0.019425625,4045.89,-0.018240453,0.0002
2016-11-01,2198.81,0.034174447,4195.73,0.037035115,0.0001
2016-12-01,2238.83,0.018200754,4278.66,0.019765333,0.0003
2017-01-03,2278.87,0.017884341,4359.81,0.018966218,0.0004
2017-02-01,2363.64,0.037198261,4532.93,0.039708152,0.0004
2017-03-01,2362.72,-0.00038923,4538.21,0.00116481,0.0003
2017-04-03,2384.2,0.009091217,4584.82,0.010270569,0.0005
2017-05-01,2411.8,0.01157621,4649.34,0.014072526,0.0006
2017-06-01,2423.41,0.004813832,4678.36,0.006241746,0.0006
2017-07-03,2470.3,0.019348769,4774.56,0.020562761,0.0007
2017-08-01,2471.65,0.000546492,4789.18,0.003062062,0.0009
